ID Number,Number,Image,Topic,Reading,Front,Back,
100,1,,Ethical and Professional Standards,1,Summarize the six components of the Code of Ethics.,"CFA charterholders and CFA candidates must: NLN1. Act with integrity, competence, diligence, respect, and in an ethical manner towards all participants in the investment profession and global markets. NLN2. Place the integrity of the investment profession and the interests of clients above their own personal interests. NLN3. Use reasonable and independent professional judgment when engaging in all professional activities. NLN4. Practice and encourage others to practice in a professional and ethical manner. NLN5. Promote the integrity of the capital markets and uphold the rules governing them. NLN6. Maintain professional competence and improve the competence of others.",EndOfLine
200,2,,Ethical and Professional Standards,2,What are the subsections of the Standard of Professional Conduct I?,I. Professionalism NLNa. Knowledge of the law NLNb. Independence and Objectivity NLNc. Misrepresentation NLNd. Misconduct,EndOfLine
201,3,,Ethical and Professional Standards,2,What are the subsections of the Standard of Professional Conduct II?,II. Integrity of Capital Markets NLNa. Material Nonpublic Information NLNb. Market Manipulation.,EndOfLine
202,4,,Ethical and Professional Standards,2,What are the subsections of the Standard of Professional Conduct III?,"III. Duties to Clients NLNa. Loyalty, Prudence, and Care. NLNb. Fair Dealing. NLNc. Suitability NLNd. Performance Presentation NLNe. Preservation of Confidentiality",EndOfLine
203,5,,Ethical and Professional Standards,2,What are the subsections of the Standard of Professional Conduct IV?,IV. Duties to Employers NLNa. Loyalty NLNb. Additional Compensation Arrangements NLNc. Responsibilities of Supervisors,EndOfLine
204,6,,Ethical and Professional Standards,2,What are the subsections of the Standard of Professional Conduct V?,"V. Investment Analysis, Recommendations, and Actions NLNa. Diligence and Reasonable Basis. NLNb. Communication with Clients and Prospective Clients NLNc. Record Retention",EndOfLine
205,7,,Ethical and Professional Standards,2,What are the subsections of the Standard of Professional Conduct VI?,VI. Conflicts of Interest NLNa. Disclosure of Conflicts NLNb. Priority of Transactions NLNc. Referral Fees,EndOfLine
206,8,,Ethical and Professional Standards,2,What are the subsections of the Standard of Professional Conduct VII?,"VII. Responsibilities as a CFA Institute Member or CFA Candidate NLNa. Conduct as member and Candidates in the CFA Program NLNb. Reference to CFA Institute, the CFA Designation, and the CFA Program.",EndOfLine
207,9,,Ethical and Professional Standards,2,What is Standard I (A): Knowledge of the Law?,"Members must understand and comply with the Code and Standards, as well as all laws, rules, and regulations of those organization governing their activities. In the event of a conflict, the more strict law, rule, or regulation should be followed. Members must disassociate themselves from any violation of such laws, rules, or regulations.",EndOfLine
208,10,,Ethical and Professional Standards,2,What is Standard I (B): Independence and Objectivity?,Members must use reasonable care and judgment to maintain independence and objectivity in their professional activities. Members must not do anything that might compromise their own or another's independence and objectivity.,EndOfLine
209,11,,Ethical and Professional Standards,2,What is Standard I (C): Misrepresentation?,Members must not purposefully make misrepresentations in any of their professional activities. The investment profession is built on trust and honesty; information provided by members to investors should be reliable. Members cannot guarantee performance. Members cannot plagiarize other materials. Reports must acknowledge and properly reference all sources of information.,EndOfLine
210,12,,Ethical and Professional Standards,2,What is Standard I (D): Misconduct?,"Members must not act in any way that would reflect adversely on their professional reputation, integrity, or competence. This standard pertains to the candidates professional, not personal, responsibilities.",EndOfLine
211,13,,Ethical and Professional Standards,2,What is Standard II (A): Material Nonpublic Information?,"Members cannot act or cause others to act on material nonpublic information. To do so would be an unfair advantage and would reflect poorly on capital markets, as a whole. Material information is any information that would likely have an effect on the value of an investment.",EndOfLine
212,14,,Ethical and Professional Standards,2,What is the Mosaic Theory?,The mosaic theory stipulates that analysts can derive significant conclusions and act on them as long as they are based on the conglomeration of public information and nonmaterial nonpublic information.,EndOfLine
213,15,,Ethical and Professional Standards,2,What is Standard II (B): Market Manipulation?,"Members cannot distort prices or pricing trends in a way that purposefully misleads other market participants. Under this standard, members also cannot propagate false or misleading information that would indirectly distort pricing trends. To engage in market manipulation would reflect poorly on the capital markets, causing investors to withdraw. NLNNote: the fall of Bear Stearns has been attributed in part to the malicious spreading of false rumors, called fear-mongering, in order to drive down its stock price.",EndOfLine
214,16,,Ethical and Professional Standards,2,"What is Standard III (A): Loyalty, Prudence, and Care?","Members must be loyal to their clients and act perpetually in their best interest.  Clients' interests must be held paramount to all others (such as that of the member or his/her employer). The member has a fiduciary duty to his client and must manage the client's assets in accordance to terms stipulated in investment documents and objectives. Decisions must be made in the context of the client's total portfolio. NLNWhen an investment purchases brokerage services using a client's assets, these so-called soft dollars or soft commissions must be properly disclosed to the client if they benefit the investment manager, because this is a potential conflict of interest. ",EndOfLine
215,17,,Ethical and Professional Standards,2,What is Standard III (B): Fair Dealing?,"Members must deal objectively with all clients when providing any and all professional services, such as when making investment recommendations, trading, or providing expert analysis. NLNAll clients must be treated fairly. New issues must be distributed evenly among clients (and never withheld for personal gain).",EndOfLine
216,18,,Ethical and Professional Standards,2,What is Standard III (C): Suitability?,"When a member is an advisor to a client, he/she must take into account all of the clients investment objectives and restraints, and this information must be updated regularly (in a written investment policy statement, or IPS). The member must determine that a particular investment is suitable to the client, in the context of the client's total portfolio. Recommendations and trades must be consistent with the specific directives or strategies of a given portfolio.",EndOfLine
217,19,,Ethical and Professional Standards,2,What is Standard III (D): Performance Presentation?,"Members must diligently provide fair, accurate, and complete investment performance information to clients and potential clients. Complying with the Global Investment Performance Standards (GIPS) will ensure that performance is presented appropriately.",EndOfLine
218,20,,Ethical and Professional Standards,2,What is Standard III (E): Preservation of Confidentiality?,"Members must keep all information about prospective, current, and former clients confidential unless: the information concerns illegal activities, and should be reported to authorities; disclosure is required by law; the client authorizes disclosure. NLNIn an investigation by the CFA Institute Professional Conduct Program (PCP), this information should be considered confidential among members participating in the investigation, and so it can be disclosed in order cooperate with the investigation.",EndOfLine
219,21,,Ethical and Professional Standards,2,What is Standard IV (A): Loyalty?,"Members must act for the benefit of their employer and provide the employer the full advantage of their abilities. Members must not engage in activities that would harm the firm, deprive it of profit, or exploit it. Still, member must always place client interests above the interests of their employer. NLNWhistleblowing: in some cased, members may violate duties to their employer in order to protect their clients' interests or the integrity of the capital markets.",EndOfLine
220,22,,Ethical and Professional Standards,2,What is Standard IV (B): Additional Compensation Arrangements?,Members cannot accept any form of compensation or consideration that creates a conflict of interest with their employer's interests unless written consent is provided by all parties involved. Compensation includes direct and indirect compensation from a client.,EndOfLine
